name,id_production_companies,id_movies
Pixar Animation Studios,3.0,862
TriStar Pictures,559.0,8844
Teitler Film,2550.0,8844
Interscope Communications,10201.0,8844
Warner Bros.,6194.0,15602
Lancaster Gate,19464.0,15602
Twentieth Century Fox Film Corporation,306.0,31357
Sandollar Productions,5842.0,11862
Touchstone Pictures,9195.0,11862
Regency Enterprises,508.0,949
Forward Pass,675.0,949
Warner Bros.,6194.0,949
Paramount Pictures,4.0,11860
Scott Rudin Productions,258.0,11860
Mirage Enterprises,932.0,11860
Sandollar Productions,5842.0,11860
Constellation Entertainment,14941.0,11860
Worldwide,55873.0,11860
Mont Blanc Entertainment GmbH,58079.0,11860
Walt Disney Pictures,2.0,45325
Universal Pictures,33.0,9091
Imperial Entertainment,21437.0,9091
Signature Entertainment,23770.0,9091
United Artists,60.0,710
Eon Productions,7576.0,710
Columbia Pictures,5.0,9087
Castle Rock Entertainment,97.0,9087
Columbia Pictures,5.0,12110
Castle Rock Entertainment,97.0,12110
Enigma Pictures,6368.0,12110
Universal Pictures,33.0,21032
Amblin Entertainment,56.0,21032
Amblimation,4105.0,21032
Hollywood Pictures,915.0,10858
Cinergi Pictures Entertainment,1504.0,10858
Le Studio Canal+,183.0,1408
Laurence Mark Productions,415.0,1408
Metro-Goldwyn-Mayer (MGM),8411.0,1408
Carolco Pictures,14723.0,1408
Universal Pictures,33.0,524
Légende Entreprises,10898.0,524
Syalis DA,11583.0,524
De Fina-Cappa,11584.0,524
Columbia Pictures Corporation,441.0,4584
Mirage Enterprises,932.0,4584
Miramax Films,14.0,5
A Band Apart,59.0,5
O Entertainment,5682.0,9273
Warner Bros.,6194.0,9273
Morgan Creek Productions,10210.0,9273
Columbia Pictures,5.0,11517
Jersey Films,216.0,8012
Metro-Goldwyn-Mayer (MGM),8411.0,8012
Regency Enterprises,508.0,1710
New Regency Pictures,10104.0,1710
Silver Pictures,1885.0,9691
Canal+,5358.0,9691
Warner Bros.,6194.0,9691
Dino De Laurentiis Company,10308.0,9691
Donner/Shuler-Donner Productions,23397.0,9691
Evansgideon/Lazar,25061.0,9691
Caravan Pictures,175.0,12665
Hollywood Pictures,915.0,12665
United Artists,60.0,451
Intial Productions,15547.0,451
Columbia Pictures,5.0,16420
Castle Rock Entertainment,97.0,16420
New Line Cinema,12.0,9263
BBC Films,288.0,17015
Procirep,311.0,902
Constellation Productions,590.0,902
France 3 Cinéma,591.0,902
Claudie Ossard Productions,592.0,902
Eurimages,850.0,902
MEDIA Programme of the European Union,851.0,902
Cofimage 5,1871.0,902
Televisión Española (TVE),6639.0,902
Tele München Fernseh Produktionsgesellschaft (TMG),7237.0,902
Club d'Investissement Média,8170.0,902
Canal+ España,9335.0,902
Elías Querejeta Producciones Cinematográficas S.L.,12009.0,902
Centre National de la Cinématographie (CNC),18367.0,902
Victoires Productions,25020.0,902
Constellation,25021.0,902
Lumière Pictures,25129.0,902
Canal+,47532.0,902
Studio Image,68517.0,902
Cofimage 4,79437.0,902
Ossane,79438.0,902
Phoenix Images,79439.0,902
Ministère des Affaires Étrangères,2588.0,37557
Alpha Films,4507.0,37557
La Sept Cinéma,23647.0,37557
Hollywood Pictures,915.0,9909
Via Rosa Productions,10103.0,9909
Don Simpson/Jerry Bruckheimer Films,10288.0,9909
Universal Pictures,33.0,63
Atlas Entertainment,507.0,63
Classico,17031.0,63
Iwerks Entertainment,70801.0,78802
Universal Pictures,33.0,9598
Kennedy Miller Productions,2537.0,9598
StudioCanal,694.0,47018
Cinéa,874.0,47018
Euston Films,8363.0,47018
Freeway Films,19316.0,47018
European Co-production Fund,30226.0,47018
Polygram Filmed Entertainment,31080.0,47018
Orsans Productions,44821.0,47018
Havoc,406.0,687
PolyGram Filmed Entertainment,1382.0,687
Working Title Films,10163.0,687
Sony New Technologies,53390.0,139405
Dualstar Productions,6130.0,33689
Warner Bros.,6194.0,33689
Rysher Entertainment,11661.0,33689
Orr & Cruickshank,89131.0,33689
Paramount Pictures,4.0,9603
Miramax,53009.0,34615
Distant Horizon,85681.0,34615
Alpine Pty Limited,89840.0,34615
British Screen,871.0,31174
Mayfair Entertainment International,34237.0,31174
Caravan Pictures,175.0,11443
Underworld Entertainment,476.0,11443
Hollywood Pictures,915.0,11443
Miramax Films,14.0,35196
New Line Cinema,12.0,9312
Threshold Entertainment,4174.0,9312
The Rank Organisation,364.0,577
Columbia Pictures Corporation,441.0,577
Universal Pictures,33.0,11861
Amblin Entertainment,56.0,11861
New Line Cinema,12.0,807
Juno Pix,4286.0,807
Cecchi Gori Pictures,65394.0,807
Walt Disney Pictures,2.0,10530
Walt Disney Feature Animation,10217.0,10530
Alliance Communications Corporation,2480.0,8391
Blue Parrot Productions,361.0,629
Bad Hat Harry Productions,9168.0,629
Miramax Films,14.0,11448
Magnolia Pictures,1030.0,11448
Walt Disney Pictures,2.0,26441
Caravan Pictures,175.0,26441
Miramax Films,14.0,97406
CiBy 2000,7832.0,97406
Telefilm Canada,7320.0,124057
Melenny Productions,10260.0,124057
Paramount Pictures,4.0,9089
Egg Pictures,802.0,9089
PolyGram Filmed Entertainment,1382.0,9089
Paramount Pictures,4.0,11359
Columbia Pictures Corporation,441.0,11359
The Kennedy/Marshall Company,862.0,11359
Paramount Pictures,4.0,17182
Hollywood Pictures,915.0,2054
The Charlie Mopic Company,916.0,2054
PolyGram Filmed Entertainment,1382.0,2054
Interscope Communications,10201.0,2054
Miramax Films,14.0,10607
Island Pictures,3492.0,10607
Ivory Way Productions,5441.0,10607
Warner Bros.,6194.0,19760
Morgan Creek Productions,10210.0,19760
Metro-Goldwyn-Mayer (MGM),8411.0,9536
Motion Picture Corporation of America (MPCA),11061.0,9536
3 Arts Entertainment,36390.0,9536
Weasel Productions,38003.0,9536
New Line Cinema,12.0,11525
Miramax Films,14.0,40628
Renn Productions,82.0,4482
Les Films Flam,1614.0,4482
TF1 Films Production,3823.0,4482
Canal+,5358.0,4482
New Line Cinema,12.0,10634
A Band Apart,59.0,755
Dimension Films,7405.0,755
Los Hooligans Productions,11705.0,755
Miramax,53009.0,755
Silver Pictures,1885.0,11859
Warner Bros.,6194.0,11859
Castleberg Productions,5841.0,28387
Sandollar Productions,5842.0,28387
Les Films 13,1742.0,48750
Canal+,5358.0,48750
TF1,22123.0,48750
New Line Cinema,12.0,20927
Juno Pix,4286.0,20927
Warner Bros.,6194.0,36929
Morgan Creek Productions,10210.0,36929
The Movie Network (TMN),3388.0,9102
Allegro Films,4899.0,9102
Fuji Eight Company Ltd.,7958.0,9102
Fries Film Group,23096.0,9102
Super Ecran,23097.0,9102
Triumph Films,23098.0,9102
Zweites Deutsches Fernsehen (ZDF),4606.0,124626
Ciak Filmproduktion,83201.0,124626
Bluehorse Films,93174.0,124626
